Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player,RSorPO
2003-04,19,CLE,NBA,SG,79,3122,18.3,.488,.145,.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,2.4,2.6,5.1,.078,2.2,-0.2,1.9,3.1,Lebron James,Regular Season
2004-05,20,CLE,NBA,SF,80,3388,25.7,.554,.183,.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,.203,6.9,1.5,8.3,8.8,Lebron James,Regular Season
2005-06,21,CLE,NBA,SF,79,3361,28.1,.568,.208,.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,12.0,4.3,16.3,.232,7.9,1.4,9.3,9.5,Lebron James,Regular Season
2006-07,22,CLE,NBA,SF,78,3190,24.5,.552,.191,.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,8.0,5.7,13.7,.206,5.4,2.0,7.4,7.6,Lebron James,Regular Season
2007-08,23,CLE,NBA,SF,75,3027,29.1,.568,.219,.470,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,10.7,4.6,15.2,.242,9.0,2.3,11.2,10.1,Lebron James,Regular Season
2008-09,24,CLE,NBA,SF,81,3054,31.7,.591,.238,.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,13.7,6.5,20.3,.318,9.4,3.6,13.0,11.6,Lebron James,Regular Season
2009-10,25,CLE,NBA,SF,76,2966,31.1,.604,.253,.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,13.3,5.2,18.5,.299,9.7,2.8,12.5,10.9,Lebron James,Regular Season
2010-11,26,MIA,NBA,SF,79,3063,27.3,.594,.188,.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,.244,6.5,2.1,8.6,8.2,Lebron James,Regular Season
2011-12,27,MIA,NBA,SF,62,2326,30.7,.605,.127,.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,10.0,4.5,14.5,.298,8.3,2.7,11.0,7.6,Lebron James,Regular Season
2012-13,28,MIA,NBA,PF,76,2877,31.6,.640,.188,.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,.322,9.2,2.4,11.6,9.8,Lebron James,Regular Season
2013-14,29,MIA,NBA,PF,77,2902,29.3,.649,.226,.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,12.3,3.7,15.9,.264,8.0,0.9,8.9,8.0,Lebron James,Regular Season
2014-15,30,CLE,NBA,SF,69,2493,25.9,.577,.265,.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,.199,6.2,1.2,7.4,5.9,Lebron James,Regular Season
2015-16,31,CLE,NBA,SF,76,2709,27.5,.588,.199,.347,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,9.6,4.0,13.6,.242,6.9,2.3,9.1,7.6,Lebron James,Regular Season
2016-17,32,CLE,NBA,SF,74,2794,27.0,.619,.254,.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,9.8,3.0,12.9,.221,6.8,1.6,8.4,7.3,Lebron James,Regular Season
2017-18,33,CLE,NBA,PF,82,3026,28.6,.621,.257,.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,11.0,3.0,14.0,.221,7.6,2.0,9.6,8.9,Lebron James,Regular Season
2018-19,34,LAL,NBA,SF,55,1937,25.6,.588,.299,.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,4.7,2.6,7.2,.179,6.2,1.9,8.1,4.9,Lebron James,Regular Season
2005-06,21,CLE,NBA,SF,13,604,23.2,.557,.205,.384,4.4,16.2,10.3,28.1,1.7,1.3,15.3,33.5,1.0,0.7,1.7,.135,5.2,2.1,7.3,1.4,Lebron James,Playoffs
2006-07,22,CLE,NBA,SF,20,893,23.9,.516,.188,.491,3.4,17.9,10.6,37.4,2.1,1.0,12.0,29.7,2.1,1.6,3.7,.200,6.3,2.2,8.5,2.4,Lebron James,Playoffs
2007-08,23,CLE,NBA,SF,13,552,24.3,.525,.255,.607,3.4,19.3,11.2,40.5,2.3,2.6,13.4,34.7,1.0,1.2,2.2,.187,7.0,4.3,11.3,1.9,Lebron James,Playoffs
2008-09,24,CLE,NBA,SF,14,580,37.4,.618,.260,.638,4.3,23.6,14.2,39.5,2.2,1.8,8.7,36.4,3.7,1.1,4.8,.399,14.8,3.4,18.2,2.9,Lebron James,Playoffs
2009-10,25,CLE,NBA,SF,11,460,28.6,.607,.237,.569,4.0,22.1,13.3,36.8,2.1,3.0,13.7,30.9,1.5,0.8,2.3,.242,7.5,3.7,11.2,1.5,Lebron James,Playoffs
2010-11,26,MIA,NBA,SF,21,922,23.7,.563,.228,.418,4.6,18.2,11.6,27.6,2.1,2.2,13.0,26.9,2.4,1.4,3.8,.198,5.0,2.8,7.8,2.3,Lebron James,Playoffs
2011-12,27,MIA,NBA,SF,23,983,30.3,.576,.169,.466,6.8,20.5,13.8,28.1,2.4,1.3,11.8,33.4,4.2,1.6,5.8,.284,8.1,2.8,11.0,3.2,Lebron James,Playoffs
2012-13,28,MIA,NBA,PF,23,960,28.1,.585,.222,.405,4.8,19.7,12.4,30.5,2.3,1.6,12.1,29.2,3.7,1.5,5.2,.260,7.3,2.9,10.2,2.9,Lebron James,Playoffs
2013-14,29,MIA,NBA,PF,20,763,31.1,.668,.253,.471,2.5,21.4,12.3,25.6,2.7,1.4,12.9,31.6,3.4,0.9,4.3,.270,7.5,2.9,10.4,2.4,Lebron James,Playoffs
2014-15,30,CLE,NBA,SF,20,844,25.3,.487,.202,.307,4.9,24.3,14.7,45.2,2.1,2.1,11.7,37.6,1.6,1.5,3.0,.173,5.9,5.1,11.0,2.7,Lebron James,Playoffs
2015-16,31,CLE,NBA,SF,21,822,30.0,.585,.225,.297,6.1,22.4,14.4,36.6,3.2,3.2,13.7,30.7,3.2,1.5,4.7,.274,7.3,5.8,13.1,3.1,Lebron James,Playoffs
2016-17,32,CLE,NBA,SF,18,744,30.1,.649,.279,.422,3.1,21.6,12.8,33.8,2.3,2.6,13.7,31.6,3.2,1.1,4.3,.275,7.3,4.2,11.5,2.5,Lebron James,Playoffs
2017-18,33,CLE,NBA,PF,22,922,32.2,.619,.224,.418,3.9,22.3,12.9,46.4,1.7,2.3,13.5,35.0,4.2,1.0,5.2,.269,9.9,4.1,14.0,3.7,Lebron James,Playoffs
1984-85,21,CHI,NBA,SG,82,3144,25.8,.592,.032,.459,6.3,13.2,9.8,25.3,3.0,1.3,13.0,29.8,10.3,3.7,14.0,.213,6.8,1.4,8.2,8.1,Michael Jordan,Regular Season
1985-86,22,CHI,NBA,SG,18,451,27.5,.533,.055,.381,5.6,10.7,8.0,21.7,3.9,2.7,10.5,38.6,1.0,0.5,1.5,.160,5.1,-0.5,4.7,0.8,Michael Jordan,Regular Season
1986-87,23,CHI,NBA,SG,82,3281,29.8,.562,.029,.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,11.9,5.0,16.9,.247,8.0,0.6,8.6,8.8,Michael Jordan,Regular Season
1987-88,24,CHI,NBA,SG,82,3311,31.7,.603,.027,.430,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,15.2,6.1,21.2,.308,9.8,2.3,12.2,11.8,Michael Jordan,Regular Season
1988-89,25,CHI,NBA,SG,81,3255,31.1,.614,.055,.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,14.6,5.2,19.8,.292,9.8,2.7,12.6,12.0,Michael Jordan,Regular Season
1989-90,26,CHI,NBA,SG,82,3197,31.2,.606,.125,.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,14.7,4.3,19.0,.285,9.7,0.8,10.6,10.1,Michael Jordan,Regular Season
1990-91,27,CHI,NBA,SG,82,3034,31.6,.605,.051,.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,14.9,5.4,20.3,.321,8.9,1.8,10.8,9.8,Michael Jordan,Regular Season
1991-92,28,CHI,NBA,SG,80,3102,27.7,.579,.055,.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,12.1,5.6,17.7,.274,6.9,1.7,8.6,8.3,Michael Jordan,Regular Season
1992-93,29,CHI,NBA,SG,78,3067,29.7,.564,.115,.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,12.0,5.2,17.2,.270,8.3,1.2,9.5,8.9,Michael Jordan,Regular Season
1994-95,31,CHI,NBA,SG,17,668,22.1,.493,.079,.337,4.4,16.2,10.3,24.2,2.3,1.5,7.0,33.2,1.2,1.1,2.3,.167,2.0,0.7,2.7,0.8,Michael Jordan,Regular Season
1995-96,32,CHI,NBA,SG,82,3090,29.4,.582,.141,.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,14.2,6.2,20.4,.317,7.2,1.4,8.6,8.3,Michael Jordan,Regular Season
1996-97,33,CHI,NBA,SG,82,3106,27.8,.567,.157,.304,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,13.3,5.0,18.3,.283,6.5,0.2,6.7,6.8,Michael Jordan,Regular Season
1997-98,34,CHI,NBA,SG,82,3181,25.2,.533,.067,.381,4.7,12.5,8.5,18.0,2.4,1.0,7.7,33.7,10.4,5.4,15.8,.238,4.6,0.0,4.6,5.3,Michael Jordan,Regular Season
2001-02,38,WAS,NBA,SF,60,2093,20.7,.468,.040,.252,2.7,16.3,9.4,30.8,2.2,0.9,9.9,36.0,1.2,2.1,3.3,.075,2.3,0.1,2.4,2.4,Michael Jordan,Regular Season
2002-03,39,WAS,NBA,SF,82,3031,19.3,.491,.036,.212,2.8,16.7,9.7,21.1,2.2,1.0,9.4,28.7,2.9,3.4,6.2,.099,0.9,0.1,1.0,2.3,Michael Jordan,Regular Season
1984-85,21,CHI,NBA,SG,4,171,24.7,.565,.103,.744,4.7,12.6,8.4,31.3,3.2,1.5,12.7,28.7,0.6,0.1,0.7,.198,4.9,3.3,8.2,0.4,Michael Jordan,Playoffs
1985-86,22,CHI,NBA,SG,3,135,30.1,.584,.011,.411,4.0,13.6,8.4,26.5,2.5,1.9,11.1,39.2,0.4,0.0,0.5,.161,6.4,3.8,10.2,0.4,Michael Jordan,Playoffs
1986-87,23,CHI,NBA,SG,3,128,28.1,.529,.060,.464,6.3,15.0,10.2,30.4,2.5,3.4,7.3,38.8,0.3,0.1,0.4,.165,5.9,4.2,10.0,0.4,Michael Jordan,Playoffs
1987-88,24,CHI,NBA,SG,10,427,28.4,.598,.012,.381,5.8,12.7,9.2,23.1,2.9,1.5,11.4,35.2,1.3,0.8,2.1,.234,9.1,2.2,11.2,1.4,Michael Jordan,Playoffs
1988-89,25,CHI,NBA,SG,17,718,29.9,.602,.090,.587,4.4,14.4,9.6,38.0,3.1,1.2,12.2,35.4,2.8,1.2,4.0,.270,9.7,3.2,12.8,2.7,Michael Jordan,Playoffs
1989-90,26,CHI,NBA,SG,16,674,31.7,.592,.117,.373,4.2,16.6,10.2,34.5,3.5,1.5,10.1,36.1,2.7,1.3,4.0,.284,11.3,3.0,14.3,2.8,Michael Jordan,Playoffs
1990-91,27,CHI,NBA,SG,17,689,32.0,.600,.069,.394,3.4,16.0,9.9,36.7,3.2,2.4,8.9,32.7,3.2,1.5,4.8,.333,10.8,3.0,13.8,2.8,Michael Jordan,Playoffs
1991-92,28,CHI,NBA,SG,22,920,27.2,.571,.076,.325,4.9,13.2,9.1,28.3,2.6,1.2,10.9,37.1,2.4,1.7,4.1,.216,8.2,1.4,9.6,2.7,Michael Jordan,Playoffs
1992-93,29,CHI,NBA,SG,19,783,30.1,.553,.136,.320,5.0,14.9,10.0,29.4,2.7,1.6,7.0,38.0,3.3,1.1,4.4,.270,9.0,1.9,10.9,2.5,Michael Jordan,Playoffs
1994-95,31,CHI,NBA,SG,10,420,24.8,.557,.121,.319,6.0,12.7,9.5,22.5,3.0,2.8,12.7,35.7,0.7,0.6,1.3,.150,3.7,2.7,6.5,0.9,Michael Jordan,Playoffs
1995-96,32,CHI,NBA,SG,18,733,26.7,.564,.152,.459,4.9,10.2,7.4,21.2,2.5,0.7,7.9,32.9,3.4,1.3,4.7,.306,8.1,0.0,8.1,1.9,Michael Jordan,Playoffs
1996-97,33,CHI,NBA,SG,19,804,27.1,.524,.135,.297,5.9,16.4,10.9,25.7,2.1,1.9,8.0,35.5,2.5,1.5,3.9,.235,6.8,1.9,8.7,2.2,Michael Jordan,Playoffs
1997-98,34,CHI,NBA,SG,21,872,28.1,.545,.082,.424,4.5,11.0,7.6,19.9,2.1,1.1,6.7,36.6,3.6,1.2,4.8,.265,7.1,-0.9,6.2,1.8,Michael Jordan,Playoffs
1996-97,18,LAL,NBA,SG,71,1103,14.4,.544,.322,.393,4.9,8.7,6.8,13.8,2.3,1.6,18.5,24.7,0.5,1.3,1.8,.079,-0.9,-0.8,-1.7,0.1,Kobe Bryant,Regular Season
1997-98,19,LAL,NBA,SG,79,2056,18.5,.548,.241,.501,4.5,8.7,6.7,16.0,1.8,1.3,12.4,27.2,4.5,1.8,6.3,.147,1.9,-1.7,0.2,1.1,Kobe Bryant,Regular Season
1998-99,20,LAL,NBA,SG,50,1896,18.9,.549,.130,.375,3.3,12.7,8.1,17.5,2.0,1.9,14.7,25.3,3.7,1.5,5.2,.130,2.0,0.3,2.3,2.1,Kobe Bryant,Regular Season
1999-00,21,LAL,NBA,SG,66,2524,21.7,.546,.122,.341,4.6,12.9,8.8,22.4,2.2,1.7,11.8,26.8,6.1,4.5,10.6,.202,3.6,1.7,5.3,4.7,Kobe Bryant,Regular Season
2000-01,22,LAL,NBA,SG,68,2783,24.5,.552,.132,.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,9.2,2.2,11.3,.196,5.3,-1.0,4.2,4.4,Kobe Bryant,Regular Season
2001-02,23,LAL,NBA,SG,80,3063,23.2,.544,.083,.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,8.9,3.8,12.7,.199,4.4,0.1,4.4,5.0,Kobe Bryant,Regular Season
2002-03,24,LAL,NBA,SG,82,3401,26.2,.550,.168,.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,11.0,4.0,14.9,.210,6.1,0.3,6.4,7.1,Kobe Bryant,Regular Season
2003-04,25,LAL,NBA,SG,65,2447,23.7,.551,.184,.452,4.7,12.0,8.3,24.4,2.4,0.8,10.8,29.1,7.8,3.0,10.7,.210,5.5,0.2,5.7,4.7,Kobe Bryant,Regular Season
2004-05,26,LAL,NBA,SG,66,2689,23.3,.563,.292,.502,4.0,12.4,8.2,28.5,1.7,1.4,14.3,31.7,7.1,1.0,8.1,.145,5.6,-1.0,4.6,4.5,Kobe Bryant,Regular Season
2005-06,27,LAL,NBA,SG,80,3277,28.0,.559,.238,.377,2.6,12.7,7.6,24.1,2.4,0.7,9.0,38.7,11.6,3.7,15.3,.224,7.3,-1.5,5.8,6.5,Kobe Bryant,Regular Season
2006-07,28,LAL,NBA,SG,77,3140,26.1,.580,.227,.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,10.8,2.2,13.0,.199,6.1,-1.4,4.7,5.3,Kobe Bryant,Regular Season
2007-08,29,LAL,NBA,SG,82,3192,24.2,.576,.246,.439,3.4,14.1,9.0,23.9,2.4,0.9,11.3,31.4,9.5,4.3,13.8,.208,5.1,0.3,5.4,6.0,Kobe Bryant,Regular Season
2008-09,30,LAL,NBA,SG,82,2960,24.4,.561,.196,.329,3.5,12.8,8.2,23.8,2.1,1.0,9.7,32.2,8.6,4.0,12.7,.206,4.8,-0.2,4.5,4.9,Kobe Bryant,Regular Season
2009-10,31,LAL,NBA,SG,73,2835,21.9,.545,.192,.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,5.4,4.0,9.4,.160,3.6,-0.1,3.6,4.0,Kobe Bryant,Regular Season
2010-11,32,LAL,NBA,SG,82,2779,23.9,.548,.217,.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,6.8,3.5,10.3,.178,4.7,-0.9,3.8,4.1,Kobe Bryant,Regular Season
2011-12,33,LAL,NBA,SG,58,2232,21.9,.527,.215,.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,4.2,2.0,6.2,.132,3.6,-1.4,2.3,2.4,Kobe Bryant,Regular Season
2012-13,34,LAL,NBA,SG,78,3013,23.0,.570,.255,.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,8.4,2.6,10.9,.174,5.2,-0.5,4.7,5.1,Kobe Bryant,Regular Season
2013-14,35,LAL,NBA,SG,6,177,10.7,.505,.219,.288,1.2,14.5,7.8,34.6,1.9,0.4,29.2,28.7,-0.5,0.1,-0.4,-97,-4.7,-1.3,-5.9,-0.2,Kobe Bryant,Regular Season
2014-15,36,LAL,NBA,SG,35,1207,17.6,.477,.258,.338,2.3,16.5,9.1,29.9,2.0,0.5,13.5,34.9,-0.4,0.6,0.2,.006,1.6,-1.3,0.3,0.7,Kobe Bryant,Regular Season
2015-16,37,LAL,NBA,SF,66,1863,14.9,.469,.420,.252,2.3,12.3,7.1,19.1,1.7,0.5,9.4,32.2,-0.9,0.5,-0.4,-10,0.8,-3.3,-2.5,-0.2,Kobe Bryant,Regular Season
1996-97,18,LAL,NBA,SG,9,133,12.5,.543,.418,.545,0.9,9.2,5.1,16.4,1.3,1.3,17.0,29.8,0.0,0.1,0.1,.042,-1.2,-1.5,-2.8,0.0,Kobe Bryant,Playoffs
1997-98,19,LAL,NBA,SG,11,220,12.8,.501,.184,.592,3.8,7.8,5.8,12.1,0.7,2.7,10.3,22.5,0.3,0.0,0.2,.046,-3.0,-0.5,-3.5,-0.1,Kobe Bryant,Playoffs
1998-99,20,LAL,NBA,SG,8,315,19.1,.502,.162,.246,4.5,16.3,10.0,21.7,2.5,2.5,16.5,27.2,0.2,0.2,0.4,.060,-0.2,3.4,3.3,0.4,Kobe Bryant,Playoffs
1999-00,21,LAL,NBA,SG,22,857,19.3,.517,.162,.320,3.4,9.9,6.6,19.8,2.0,2.9,10.9,26.7,1.5,0.5,2.1,.115,1.5,1.8,3.3,1.2,Kobe Bryant,Playoffs
2000-01,22,LAL,NBA,SG,16,694,25.0,.555,.095,.422,4.7,13.3,9.1,25.4,1.9,1.3,10.7,30.3,2.6,1.2,3.8,.260,6.5,0.8,7.3,1.6,Kobe Bryant,Playoffs
2001-02,23,LAL,NBA,SG,19,833,20.5,.511,.135,.336,3.8,10.6,7.3,20.2,1.7,1.5,9.8,29.8,1.7,0.8,2.6,.148,2.4,0.8,3.3,1.1,Kobe Bryant,Playoffs
2002-03,24,LAL,NBA,SG,12,531,22.2,.531,.196,.328,3.3,10.1,6.6,22.8,1.4,0.1,10.4,34.0,1.2,0.2,1.5,.131,3.4,-1.1,2.3,0.6,Kobe Bryant,Playoffs
2003-04,25,LAL,NBA,SG,22,973,21.0,.506,.211,.361,2.2,10.3,6.2,25.6,2.4,0.6,10.3,29.8,2.1,0.8,2.9,.145,3.5,1.1,4.6,1.6,Kobe Bryant,Playoffs
2005-06,27,LAL,NBA,SG,7,314,19.9,.587,.241,.331,1.5,16.9,8.8,21.5,1.3,0.8,16.6,28.9,0.5,0.1,0.6,.087,1.0,1.2,2.2,0.3,Kobe Bryant,Playoffs
2006-07,28,LAL,NBA,SG,5,215,24.1,.561,.215,.285,0.5,14.3,6.9,20.0,1.2,0.7,13.1,33.9,0.6,-0.1,0.5,.121,2.0,1.1,3.1,0.3,Kobe Bryant,Playoffs
2007-08,29,LAL,NBA,SG,21,863,25.0,.577,.229,.419,2.5,13.0,8.0,26.9,2.1,0.7,11.3,33.0,2.4,0.8,3.2,.178,5.5,1.3,6.8,1.9,Kobe Bryant,Playoffs
2008-09,30,LAL,NBA,SG,23,940,26.8,.564,.200,.372,2.4,12.8,7.6,26.0,2.1,1.9,8.7,32.9,3.3,1.4,4.7,.238,6.8,0.6,7.5,2.2,Kobe Bryant,Playoffs
2009-10,31,LAL,NBA,SG,23,923,24.7,.567,.256,.358,3.3,14.0,8.7,26.0,1.8,1.4,11.8,33.2,2.7,0.9,3.6,.190,5.5,0.4,5.9,1.9,Kobe Bryant,Playoffs
2010-11,32,LAL,NBA,SG,10,354,20.6,.536,.220,.328,2.7,9.8,6.0,19.1,2.5,0.8,12.7,32.7,0.5,0.2,0.7,.099,1.9,-0.8,1.1,0.3,Kobe Bryant,Playoffs
2011-12,33,LAL,NBA,SG,12,476,24.4,.525,.199,.316,3.5,9.6,6.5,24.0,1.8,0.3,9.0,35.8,1.4,0.0,1.4,.143,4.7,-0.9,3.8,0.7,Kobe Bryant,Playoffs
