Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,RSorPO
2003-04,19,CLE,NBA,SG,79,79,3122,622,1492,.417,63,217,.290,559,1275,.438,.438,347,460,.754,99,333,432,465,130,58,273,149,1654,Lebron James,Regular Season
2004-05,20,CLE,NBA,SF,80,80,3388,795,1684,.472,108,308,.351,687,1376,.499,.504,477,636,.750,111,477,588,577,177,52,262,146,2175,Lebron James,Regular Season
2005-06,21,CLE,NBA,SF,79,79,3361,875,1823,.480,127,379,.335,748,1444,.518,.515,601,814,.738,75,481,556,521,123,66,260,181,2478,Lebron James,Regular Season
2006-07,22,CLE,NBA,SF,78,78,3190,772,1621,.476,99,310,.319,673,1311,.513,.507,489,701,.698,83,443,526,470,125,55,250,171,2132,Lebron James,Regular Season
2007-08,23,CLE,NBA,SF,75,74,3027,794,1642,.484,113,359,.315,681,1283,.531,.518,549,771,.712,133,459,592,539,138,81,255,165,2250,Lebron James,Regular Season
2008-09,24,CLE,NBA,SF,81,81,3054,789,1613,.489,132,384,.344,657,1229,.535,.530,594,762,.780,106,507,613,587,137,93,241,139,2304,Lebron James,Regular Season
2009-10,25,CLE,NBA,SF,76,76,2966,768,1528,.503,129,387,.333,639,1141,.560,.545,593,773,.767,71,483,554,651,125,77,261,119,2258,Lebron James,Regular Season
2010-11,26,MIA,NBA,SF,79,79,3063,758,1485,.510,92,279,.330,666,1206,.552,.541,503,663,.759,80,510,590,554,124,50,284,163,2111,Lebron James,Regular Season
2011-12,27,MIA,NBA,SF,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,.554,387,502,.771,94,398,492,387,115,50,213,96,1683,Lebron James,Regular Season
2012-13,28,MIA,NBA,PF,76,76,2877,765,1354,.565,103,254,.406,662,1100,.602,.603,403,535,.753,97,513,610,551,129,67,226,110,2036,Lebron James,Regular Season
2013-14,29,MIA,NBA,PF,77,77,2902,767,1353,.567,116,306,.379,651,1047,.622,.610,439,585,.750,81,452,533,488,121,26,270,126,2089,Lebron James,Regular Season
2014-15,30,CLE,NBA,SF,69,69,2493,624,1279,.488,120,339,.354,504,940,.536,.535,375,528,.710,51,365,416,511,109,49,272,135,1743,Lebron James,Regular Season
2015-16,31,CLE,NBA,SF,76,76,2709,737,1416,.520,87,282,.309,650,1134,.573,.551,359,491,.731,111,454,565,514,104,49,249,143,1920,Lebron James,Regular Season
2016-17,32,CLE,NBA,SF,74,74,2794,736,1344,.548,124,342,.363,612,1002,.611,.594,358,531,.674,97,542,639,646,92,44,303,134,1954,Lebron James,Regular Season
2017-18,33,CLE,NBA,PF,82,82,3026,857,1580,.542,149,406,.367,708,1174,.603,.590,388,531,.731,97,612,709,747,116,71,347,136,2251,Lebron James,Regular Season
2018-19,34,LAL,NBA,SF,55,55,1937,558,1095,.510,111,327,.339,447,768,.582,.560,278,418,.665,57,408,465,454,72,33,197,94,1505,Lebron James,Regular Season
2005-06,21,CLE,NBA,SF,13,13,604,146,307,.476,21,63,.333,125,244,.512,.510,87,118,.737,22,83,105,76,18,9,65,44,400,Lebron James,Playoffs
2006-07,22,CLE,NBA,SF,20,20,893,166,399,.416,21,75,.280,145,324,.448,.442,148,196,.755,26,135,161,159,34,10,66,40,501,Lebron James,Playoffs
2007-08,23,CLE,NBA,SF,13,13,552,113,275,.411,18,70,.257,95,205,.463,.444,122,167,.731,16,86,102,99,23,17,54,33,366,Lebron James,Playoffs
2008-09,24,CLE,NBA,SF,14,14,580,159,312,.510,27,81,.333,132,231,.571,.553,149,199,.749,19,109,128,102,23,12,38,30,494,Lebron James,Playoffs
2009-10,25,CLE,NBA,SF,11,11,460,106,211,.502,20,50,.400,86,161,.534,.550,88,120,.733,15,87,102,84,19,20,42,23,320,Lebron James,Playoffs
2010-11,26,MIA,NBA,SF,21,21,922,174,373,.466,30,85,.353,144,288,.500,.507,119,156,.763,34,142,176,123,35,25,66,56,497,Lebron James,Playoffs
2011-12,27,MIA,NBA,SF,23,23,983,251,502,.500,22,85,.259,229,417,.549,.522,173,234,.739,54,170,224,129,43,16,81,47,697,Lebron James,Playoffs
2012-13,28,MIA,NBA,PF,23,23,960,212,432,.491,36,96,.375,176,336,.524,.532,136,175,.777,37,156,193,152,41,18,70,43,596,Lebron James,Playoffs
2013-14,29,MIA,NBA,PF,20,20,763,192,340,.565,35,86,.407,157,254,.618,.616,129,160,.806,14,127,141,95,36,11,61,46,548,Lebron James,Playoffs
2014-15,30,CLE,NBA,SF,20,20,844,227,544,.417,25,110,.227,202,434,.465,.440,122,167,.731,37,189,226,169,33,21,82,58,601,Lebron James,Playoffs
2015-16,31,CLE,NBA,SF,21,21,822,219,417,.525,32,94,.340,187,323,.579,.564,82,124,.661,42,158,200,160,49,27,75,54,552,Lebron James,Playoffs
2016-17,32,CLE,NBA,SF,18,18,744,217,384,.565,44,107,.411,173,277,.625,.622,113,162,.698,19,145,164,141,35,23,72,43,591,Lebron James,Playoffs
2017-18,33,CLE,NBA,PF,22,22,922,275,510,.539,39,114,.342,236,396,.596,.577,159,213,.746,31,169,200,198,30,23,94,52,748,Lebron James,Playoffs
1984-85,21,CHI,NBA,SG,82,82,3144,837,1625,.515,9,52,.173,828,1573,.526,.518,630,746,.845,167,367,534,481,196,69,291,285,2313,Michael Jordan,Regular Season
1985-86,22,CHI,NBA,SG,18,7,451,150,328,.457,3,18,.167,147,310,.474,.462,105,125,.840,23,41,64,53,37,21,45,46,408,Michael Jordan,Regular Season
1986-87,23,CHI,NBA,SG,82,82,3281,1098,2279,.482,12,66,.182,1086,2213,.491,.484,833,972,.857,166,264,430,377,236,125,272,237,3041,Michael Jordan,Regular Season
1987-88,24,CHI,NBA,SG,82,82,3311,1069,1998,.535,7,53,.132,1062,1945,.546,.537,723,860,.841,139,310,449,485,259,131,252,270,2868,Michael Jordan,Regular Season
1988-89,25,CHI,NBA,SG,81,81,3255,966,1795,.538,27,98,.276,939,1697,.553,.546,674,793,.850,149,503,652,650,234,65,290,247,2633,Michael Jordan,Regular Season
1989-90,26,CHI,NBA,SG,82,82,3197,1034,1964,.526,92,245,.376,942,1719,.548,.550,593,699,.848,143,422,565,519,227,54,247,241,2753,Michael Jordan,Regular Season
1990-91,27,CHI,NBA,SG,82,82,3034,990,1837,.539,29,93,.312,961,1744,.551,.547,571,671,.851,118,374,492,453,223,83,202,229,2580,Michael Jordan,Regular Season
1991-92,28,CHI,NBA,SG,80,80,3102,943,1818,.519,27,100,.270,916,1718,.533,.526,491,590,.832,91,420,511,489,182,75,200,201,2404,Michael Jordan,Regular Season
1992-93,29,CHI,NBA,SG,78,78,3067,992,2003,.495,81,230,.352,911,1773,.514,.515,476,569,.837,135,387,522,428,221,61,207,188,2541,Michael Jordan,Regular Season
1994-95,31,CHI,NBA,SG,17,17,668,166,404,.411,16,32,.500,150,372,.403,.431,109,136,.801,25,92,117,90,30,13,35,47,457,Michael Jordan,Regular Season
1995-96,32,CHI,NBA,SG,82,82,3090,916,1850,.495,111,260,.427,805,1590,.506,.525,548,657,.834,148,395,543,352,180,42,197,195,2491,Michael Jordan,Regular Season
1996-97,33,CHI,NBA,SG,82,82,3106,920,1892,.486,111,297,.374,809,1595,.507,.516,480,576,.833,113,369,482,352,140,44,166,156,2431,Michael Jordan,Regular Season
1997-98,34,CHI,NBA,SG,82,82,3181,881,1893,.465,30,126,.238,851,1767,.482,.473,565,721,.784,130,345,475,283,141,45,185,151,2357,Michael Jordan,Regular Season
2001-02,38,WAS,NBA,SF,60,53,2093,551,1324,.416,10,53,.189,541,1271,.426,.420,263,333,.790,50,289,339,310,85,26,162,119,1375,Michael Jordan,Regular Season
2002-03,39,WAS,NBA,SF,82,67,3031,679,1527,.445,16,55,.291,663,1472,.450,.450,266,324,.821,71,426,497,311,123,39,173,171,1640,Michael Jordan,Regular Season
1984-85,21,CHI,NBA,SG,4,4,171,34,78,.436,1,8,.125,33,70,.471,.442,48,58,.828,7,16,23,34,11,4,15,15,117,Michael Jordan,Playoffs
1985-86,22,CHI,NBA,SG,3,3,135,48,95,.505,1,1,1.000,47,94,.500,.511,34,39,.872,5,14,19,17,7,4,14,13,131,Michael Jordan,Playoffs
1986-87,23,CHI,NBA,SG,3,3,128,35,84,.417,2,5,.400,33,79,.418,.429,35,39,.897,7,14,21,18,6,7,8,11,107,Michael Jordan,Playoffs
1987-88,24,CHI,NBA,SG,10,10,427,138,260,.531,1,3,.333,137,257,.533,.533,86,99,.869,23,48,71,47,24,11,39,38,363,Michael Jordan,Playoffs
1988-89,25,CHI,NBA,SG,17,17,718,199,390,.510,10,35,.286,189,355,.532,.523,183,229,.799,26,93,119,130,42,13,68,65,591,Michael Jordan,Playoffs
1989-90,26,CHI,NBA,SG,16,16,674,219,426,.514,16,50,.320,203,376,.540,.533,133,159,.836,24,91,115,109,45,14,56,54,587,Michael Jordan,Playoffs
1990-91,27,CHI,NBA,SG,17,17,689,197,376,.524,10,26,.385,187,350,.534,.537,125,148,.845,18,90,108,142,40,23,43,53,529,Michael Jordan,Playoffs
1991-92,28,CHI,NBA,SG,22,22,920,290,581,.499,17,44,.386,273,537,.508,.514,162,189,.857,37,100,137,127,44,16,81,62,759,Michael Jordan,Playoffs
1992-93,29,CHI,NBA,SG,19,19,783,251,528,.475,28,72,.389,223,456,.489,.502,136,169,.805,32,96,128,114,39,17,45,58,666,Michael Jordan,Playoffs
1994-95,31,CHI,NBA,SG,10,10,420,120,248,.484,11,30,.367,109,218,.500,.506,64,79,.810,20,45,65,45,23,14,41,30,315,Michael Jordan,Playoffs
1995-96,32,CHI,NBA,SG,18,18,733,187,407,.459,25,62,.403,162,345,.470,.490,153,187,.818,31,58,89,74,33,6,42,49,552,Michael Jordan,Playoffs
1996-97,33,CHI,NBA,SG,19,19,804,227,498,.456,13,67,.194,214,431,.497,.469,123,148,.831,42,108,150,91,30,17,49,46,590,Michael Jordan,Playoffs
1997-98,34,CHI,NBA,SG,21,21,872,243,526,.462,13,43,.302,230,483,.476,.474,181,223,.812,33,74,107,74,32,12,45,47,680,Michael Jordan,Playoffs
1996-97,18,LAL,NBA,SG,71,6,1103,176,422,.417,51,136,.375,125,286,.437,.477,136,166,.819,47,85,132,91,49,23,112,102,539,Kobe Bryant,Regular Season
1997-98,19,LAL,NBA,SG,79,1,2056,391,913,.428,75,220,.341,316,693,.456,.469,363,457,.794,79,163,242,199,74,40,157,180,1220,Kobe Bryant,Regular Season
1998-99,20,LAL,NBA,SG,50,50,1896,362,779,.465,27,101,.267,335,678,.494,.482,245,292,.839,53,211,264,190,72,50,157,153,996,Kobe Bryant,Regular Season
1999-00,21,LAL,NBA,SG,66,62,2524,554,1183,.468,46,144,.319,508,1039,.489,.488,331,403,.821,108,308,416,323,106,62,182,220,1485,Kobe Bryant,Regular Season
2000-01,22,LAL,NBA,SG,68,68,2783,701,1510,.464,61,200,.305,640,1310,.489,.484,475,557,.853,104,295,399,338,114,43,220,222,1938,Kobe Bryant,Regular Season
2001-02,23,LAL,NBA,SG,80,80,3063,749,1597,.469,33,132,.250,716,1465,.489,.479,488,589,.829,112,329,441,438,118,35,223,228,2019,Kobe Bryant,Regular Season
2002-03,24,LAL,NBA,SG,82,82,3401,868,1924,.451,124,324,.383,744,1600,.465,.483,601,713,.843,106,458,564,481,181,67,288,218,2461,Kobe Bryant,Regular Season
2003-04,25,LAL,NBA,SG,65,64,2447,516,1178,.438,71,217,.327,445,961,.463,.468,454,533,.852,103,256,359,330,112,28,171,176,1557,Kobe Bryant,Regular Season
2004-05,26,LAL,NBA,SG,66,66,2689,573,1324,.433,131,387,.339,442,937,.472,.482,542,664,.816,95,297,392,398,86,53,270,174,1819,Kobe Bryant,Regular Season
2005-06,27,LAL,NBA,SG,80,80,3277,978,2173,.450,180,518,.347,798,1655,.482,.491,696,819,.850,71,354,425,360,147,30,250,233,2832,Kobe Bryant,Regular Season
2006-07,28,LAL,NBA,SG,77,77,3140,813,1757,.463,137,398,.344,676,1359,.497,.502,667,768,.868,75,364,439,413,111,36,255,205,2430,Kobe Bryant,Regular Season
2007-08,29,LAL,NBA,SG,82,82,3192,775,1690,.459,150,415,.361,625,1275,.490,.503,623,742,.840,94,423,517,441,151,40,257,227,2323,Kobe Bryant,Regular Season
2008-09,30,LAL,NBA,SG,82,82,2960,800,1712,.467,118,336,.351,682,1376,.496,.502,483,564,.856,90,339,429,399,120,37,210,189,2201,Kobe Bryant,Regular Season
2009-10,31,LAL,NBA,SG,73,73,2835,716,1569,.456,99,301,.329,617,1268,.487,.488,439,541,.811,78,313,391,365,113,20,233,187,1970,Kobe Bryant,Regular Season
2010-11,32,LAL,NBA,SG,82,82,2779,740,1639,.451,115,356,.323,625,1283,.487,.487,483,583,.828,83,336,419,388,99,12,243,172,2078,Kobe Bryant,Regular Season
2011-12,33,LAL,NBA,SG,58,58,2232,574,1336,.430,87,287,.303,487,1049,.464,.462,381,451,.845,66,247,313,264,69,18,204,105,1616,Kobe Bryant,Regular Season
2012-13,34,LAL,NBA,SG,78,78,3013,738,1595,.463,132,407,.324,606,1188,.510,.504,525,626,.839,66,367,433,469,106,25,287,173,2133,Kobe Bryant,Regular Season
2013-14,35,LAL,NBA,SG,6,6,177,31,73,.425,3,16,.188,28,57,.491,.445,18,21,.857,2,24,26,38,7,1,34,9,83,Kobe Bryant,Regular Season
2014-15,36,LAL,NBA,SG,35,35,1207,266,713,.373,54,184,.293,212,529,.401,.411,196,241,.813,26,173,199,197,47,7,128,65,782,Kobe Bryant,Regular Season
2015-16,37,LAL,NBA,SF,66,66,1863,398,1113,.358,133,467,.285,265,646,.410,.417,232,281,.826,41,206,247,184,62,13,129,115,1161,Kobe Bryant,Regular Season
1996-97,18,LAL,NBA,SG,9,0,133,21,55,.382,6,23,.261,15,32,.469,.436,26,30,.867,1,10,11,11,3,2,14,23,74,Kobe Bryant,Playoffs
1997-98,19,LAL,NBA,SG,11,0,220,31,76,.408,3,14,.214,28,62,.452,.428,31,45,.689,7,14,21,16,3,8,11,28,96,Kobe Bryant,Playoffs
1998-99,20,LAL,NBA,SG,8,8,315,61,142,.430,8,23,.348,53,119,.445,.458,28,35,.800,13,42,55,37,15,10,31,24,158,Kobe Bryant,Playoffs
1999-00,21,LAL,NBA,SG,22,22,857,174,394,.442,22,64,.344,152,330,.461,.470,95,126,.754,26,72,98,97,32,32,55,89,465,Kobe Bryant,Playoffs
2000-01,22,LAL,NBA,SG,16,16,694,168,358,.469,11,34,.324,157,324,.485,.485,124,151,.821,29,87,116,97,25,12,51,53,471,Kobe Bryant,Playoffs
2001-02,23,LAL,NBA,SG,19,19,833,187,431,.434,22,58,.379,165,373,.442,.459,110,145,.759,28,83,111,87,27,17,54,65,506,Kobe Bryant,Playoffs
2002-03,24,LAL,NBA,SG,12,12,531,137,317,.432,25,62,.403,112,255,.439,.472,86,104,.827,16,45,61,62,14,1,42,35,385,Kobe Bryant,Playoffs
2003-04,25,LAL,NBA,SG,22,22,973,190,460,.413,24,97,.247,166,363,.457,.439,135,166,.813,18,86,104,121,42,7,61,59,539,Kobe Bryant,Playoffs
2005-06,27,LAL,NBA,SG,7,7,314,72,145,.497,14,35,.400,58,110,.527,.545,37,48,.771,4,40,44,36,8,3,33,25,195,Kobe Bryant,Playoffs
2006-07,28,LAL,NBA,SG,5,5,215,60,130,.462,10,28,.357,50,102,.490,.500,34,37,.919,1,25,26,22,5,2,22,10,164,Kobe Bryant,Playoffs
2007-08,29,LAL,NBA,SG,21,21,863,222,463,.479,32,106,.302,190,357,.532,.514,157,194,.809,18,101,119,117,35,8,70,59,633,Kobe Bryant,Playoffs
2008-09,30,LAL,NBA,SG,23,23,940,242,530,.457,37,106,.349,205,424,.483,.492,174,197,.883,19,104,123,126,38,21,59,59,695,Kobe Bryant,Playoffs
2009-10,31,LAL,NBA,SG,23,23,923,234,511,.458,49,131,.374,185,380,.487,.506,154,183,.842,26,112,138,126,31,16,79,75,671,Kobe Bryant,Playoffs
2010-11,32,LAL,NBA,SG,10,10,354,83,186,.446,12,41,.293,71,145,.490,.478,50,61,.820,8,26,34,33,16,3,31,23,228,Kobe Bryant,Playoffs
2011-12,33,LAL,NBA,SG,12,12,476,132,301,.439,17,60,.283,115,241,.477,.467,79,95,.832,16,42,58,52,16,2,34,33,360,Kobe Bryant,Playoffs
